index,o_place,d_place,year,month,day,cnt,o_lat,o_lon,d_lat,d_lon
4223388,06037,39041,2020,1,1,1,33.745,-118.276,40.189,-82.976
4223399,06067,06059,2020,1,1,4,38.642,-121.418,33.804,-117.806
4223488,16031,16067,2020,1,1,1,42.538,-113.785,42.542,-113.779
4223862,17095,17021,2020,1,1,1,40.804,-90.4,39.739,-89.267
4223938,48171,48029,2020,1,1,2,30.242,-99.06,29.472,-98.506
4224420,46081,46081,2020,1,1,9,44.439,-103.798,44.436,-103.794
4224466,39013,54097,2020,1,1,1,39.974,-80.763,38.92,-80.182
4224504,18081,39061,2020,1,1,1,39.492,-86.053,39.137,-84.54
4224506,36117,36121,2020,1,1,1,43.238,-77.061,42.826,-78.09
4224679,37067,25027,2020,1,1,1,36.087,-80.245,42.265,-71.609
4224936,36067,35045,2020,1,1,1,43.027,-76.068,36.625,-108.185
4225331,13081,13081,2020,1,1,10,31.964,-83.772,31.964,-83.772
4225340,45073,45077,2020,1,1,3,34.693,-82.934,34.757,-82.679
4225480,26125,51013,2020,1,1,1,42.507,-83.158,38.881,-77.102
4226244,20115,20173,2020,1,1,1,38.381,-96.961,37.552,-97.348
4226344,21067,21169,2020,1,1,1,37.981,-84.526,37.133,-85.713
4226957,01107,48201,2020,1,1,1,33.421,-88.273,29.767,-95.424
4227056,48477,20173,2020,1,1,1,30.139,-96.395,37.693,-97.197
4227565,28081,47037,2020,1,1,1,34.264,-88.728,36.2,-86.792
4227795,06029,06029,2020,1,1,665,35.352,-118.961,35.351,-118.958
4227845,18141,19163,2020,1,1,1,41.7,-86.249,41.538,-90.597
4228036,01125,05119,2020,1,1,1,33.197,-87.533,34.752,-92.131
4228134,01097,28059,2020,1,1,4,30.697,-88.167,30.443,-88.782
4228138,50011,50007,2020,1,1,2,44.864,-73.104,44.463,-73.162
4228690,12103,12057,2020,1,1,42,27.89,-82.709,28.003,-82.468
4228737,41017,06073,2020,1,1,2,44.185,-121.234,32.715,-117.069
4229205,17031,18157,2020,1,1,1,41.834,-87.732,40.407,-86.847
4229276,32003,18003,2020,1,1,1,36.233,-115.223,41.087,-85.17
4229448,45017,45019,2020,1,1,1,33.743,-80.914,32.914,-80.046
4230104,42077,47139,2020,1,1,1,40.61,-75.59,35.245,-84.685
4230116,06095,12057,2020,1,1,1,38.261,-122.056,27.997,-82.443
4230190,18097,18167,2020,1,1,2,39.782,-86.17,39.458,-87.382
